IDENTIFIER

0, this
1, Dummy
2, Dummy
3, hasOwnProperty
4, Dummy
5, singleton
6, this
7, Dummy
8, singleton
9, Dummy
10, singleton
11, Dummy
12, prototype
13, value
14, Dummy
15, prototype
16, setValue
17, value
18, this
19, value
20, value
21, Dummy
22, prototype
23, getValue
24, this
25, value
26, foo
27, Dummy
28, bar
29, Dummy
30, bar
31, setValue
32, console
33, this
34, console
35, log
36, foo
37, bar
38, console
39, log
40, foo
41, getValue
42, bar
43, getValue
44, baz
45, Dummy
46, console
47, log
48, baz
49, bar
50, baz
51, getValue
52, setTimeouts
53, setTimeout
54, this
55, i
56, i
57, i
58, setTimeout
59, i
60, setTimeout
61, i
62, arr
63, alert
64, this
65, alert
66, arr
67, obj
68, arr
69, alert
70, obj
71, key
72, stressString
73, alert
74, stressString
75, testIfs
76, str
77, baz
78, decs
79, i
80, i
81, i
82, baz
83, i
84, i
85, a
86, something
87, console
88, log
89, something
